"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_00291" 73 65 52 67 74 77 86 97 94 115 99 76
"T459_00292" 17 20 19 14 17 38 56 44 51 63 65 94
"T459_00293" 13 9 16 11 16 21 39 46 36 56 35 46
"T459_00294" 124 69 99 164 176 342 502 435 407 743 614 1501
"T459_00295" 4 5 5 12 8 28 25 28 22 30 14 14
"T459_00296" 0 0 0 0 1 1 0 0 0 1 0 3
"T459_00297" 0 1 0 0 0 0 2 0 0 1 1 0
"T459_00298" 1 9 9 2 9 8 14 14 10 12 16 5
"T459_00299" 299 286 246 261 210 240 375 385 364 368 358 327
"T459_00300" 167 124 135 119 148 207 205 185 152 136 147 137
"T459_00301" 1 1 2 0 1 0 0 0 0 0 0 0
"T459_00302" 0 0 1 0 0 1 0 1 0 0 1 1
"T459_00303" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00304" 1 2 3 1 0 1 0 2 1 0 1 0
"T459_00305" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00306" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00307" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00308" 20 22 92 12 14 14 15 21 13 16 24 29
"T459_00309" 1 0 1 0 0 1 0 0 0 2 0 2
"T459_00310" 0 0 4 0 1 1 0 0 0 1 1 0
"T459_00311" 45 45 55 23 30 23 8 16 12 3 2 3
"T459_00312" 59 51 44 24 26 45 30 30 21 40 45 46
"T459_00313" 1 0 0 0 1 0 0 0 0 0 0 2
"T459_00314" 0 1 1 0 0 0 1 0 0 1 1 3
"T459_00315" 351 312 304 359 354 322 663 820 600 1210 1053 1582
"T459_00316" 7 0 3 5 1 7 13 11 6 17 26 27
"T459_00317" 21 39 24 26 12 16 6 3 8 5 2 4
"T459_00318" 114 185 113 174 153 175 347 390 337 316 297 448
"T459_00319" 183 188 179 181 155 158 76 96 82 52 50 35
"T459_00320" 123 121 110 67 69 53 77 77 57 46 51 72
"T459_00321" 34 59 49 101 81 93 156 168 127 198 181 184
"T459_00322" 49 54 63 102 82 76 161 156 154 155 139 127
"T459_00323" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00324" 63 53 74 81 84 102 129 156 151 130 115 109
"T459_00325" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00326" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00327" 26 22 9 18 6 6 50 54 32 39 59 3
"T459_00328" 24 70 3 363 183 253 395 328 329 965 906 1335
"T459_00329" 0 0 0 0 0 0 1 1 2 0 4 0
"T459_00330" 0 1 0 0 0 0 1 0 1 0 0 0
"T459_00331" 217 140 120 167 146 195 111 111 100 116 148 145
"T459_00332" 308 305 390 316 334 318 474 454 458 491 414 380
"T459_00333" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00334" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00335" 179 246 205 119 93 94 63 59 67 31 37 28
"T459_00336" 18 15 20 18 23 25 29 25 20 8 5 9
"T459_00337" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00338" 3 6 6 3 3 13 8 7 8 4 1 3
"T459_00339" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00340" 20 12 4 16 4 16 14 15 10 18 11 22
"T459_00341" 1 0 0 0 3 9 2 2 3 2 4 5
"T459_00342" 376 567 498 255 237 169 36 34 31 5 15 6
"T459_00343" 176 140 195 125 146 178 115 154 122 115 124 106
"T459_00344" 66 56 83 36 37 53 85 78 63 108 84 105
"T459_00345" 33 45 20 49 40 34 19 24 22 20 18 14
"T459_00346" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00347" 11 27 1 10 1 0 0 0 0 0 0 0
"T459_00348" 7 11 0 0 1 0 0 0 0 0 0 0
"T459_00349" 0 0 0 0 0 0 4 1 0 3 23 17
"T459_00350" 28 33 66 50 63 81 113 112 69 114 86 80
"T459_00351" 93 160 228 1343 1295 2601 2394 1973 2353 2021 1385 1476
"T459_00352" 53 73 111 106 112 111 319 260 257 326 264 329
"T459_00353" 41 39 8 21 18 24 58 49 52 40 50 123
"T459_00354" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00355" 44 20 27 52 42 70 80 72 72 85 38 79
"T459_00356" 19 13 11 11 11 10 23 24 20 22 19 20
"T459_00357" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00358" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00359" 127 96 116 72 91 75 106 93 79 142 111 94
"T459_00360" 74 55 100 261 306 389 434 369 397 347 387 533
"T459_00361" 0 0 0 0 0 0 0 6 6 3 5 2
"T459_00362" 0 0 0 0 0 0 1 7 3 5 4 1
"T459_00363" 0 0 0 0 0 0 0 4 3 0 0 0
"T459_00364" 40 68 67 40 24 36 41 31 29 37 55 29
"T459_00365" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00366" 3 0 2 0 1 0 0 0 0 0 0 0
"T459_00367" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00368" 68 30 26 32 32 73 43 51 33 27 55 60
"T459_00369" 243 251 129 271 286 331 447 403 374 404 312 327
"T459_00370" 26 13 27 5 8 4 4 4 0 3 4 4
"T459_00371" 0 0 0 0 0 0 1 0 2 0 3 1
"T459_00372" 0 0 1 0 2 1 2 1 0 4 0 1
"T459_00373" 0 0 2 0 2 1 2 2 0 0 0 0
