"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"Solyc00g021630.1" 28 26 11 16 53 22 23 33 32 50 15 11
"Solyc00g500254.1" 0 0 1 0 0 0 0 2 3 0 0 0
"Solyc00g181240.1" 2 2 0 0 0 1 0 0 0 1 0 0
"Solyc00g181250.2" 2 1 0 1 2 2 1 7 6 2 0 0
"Solyc00g500255.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500256.1" 0 0 0 0 1 0 0 0 0 0 1 0
"Solyc00g500257.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500258.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500259.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500260.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500261.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500262.1" 0 0 0 0 0 0 0 0 1 0 0 0
"Solyc00g500263.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500264.1" 0 2 0 0 2 1 0 4 0 1 0 1
"Solyc00g500265.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500266.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500267.1" 0 1 0 0 0 0 1 0 0 0 0 0
"Solyc00g500268.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500269.1" 0 0 0 0 1 0 0 0 0 0 0 0
"Solyc00g500270.1" 0 0 0 0 0 2 0 0 0 0 0 0
"Solyc00g500271.1" 0 0 0 0 0 0 0 0 0 0 0 0
